Pixel-X,Pixel-Y,Longitude,Latitude,chlor_a,sst
41.5,6.5,124.9791616,-5.104166667,0.40100846,26.38
42.5,6.5,125.0208282,-5.104166667,0.3138036,26.38
43.5,6.5,125.0624949,-5.104166667,0.3185894,26.414999
44.5,6.5,125.1041616,-5.104166667,0.33594316,26.385
45.5,6.5,125.1458282,-5.104166667,0.35867038,26.365
46.5,6.5,125.1874949,-5.104166667,0.35081384,26.39
47.5,6.5,125.2291616,-5.104166667,0.37411845,26.404999
48.5,6.5,125.2708282,-5.104166667,0.36847317,26.4
49.5,6.5,125.3124949,-5.104166667,0.36156037,26.43
0.5,7.5,123.2708282,-5.145833333,0.31223485,27.644999
1.5,7.5,123.3124949,-5.145833333,0.31047168,27.57
2.5,7.5,123.3541616,-5.145833333,0.31509075,27.425
3.5,7.5,123.3958282,-5.145833333,0.3269183,27.255
4.5,7.5,123.4374949,-5.145833333,0.3382946,27.164999
5.5,7.5,123.4791616,-5.145833333,0.34130162,27.109999
6.5,7.5,123.5208282,-5.145833333,0.33091924,27.085
7.5,7.5,123.5624949,-5.145833333,0.32291403,27.085
8.5,7.5,123.6041616,-5.145833333,0.3378249,27.025
9.5,7.5,123.6458282,-5.145833333,0.3379185,26.93
10.5,7.5,123.6874949,-5.145833333,0.3422377,26.855
11.5,7.5,123.7291616,-5.145833333,0.3449512,26.824999
12.5,7.5,123.7708282,-5.145833333,0.34557998,26.83
13.5,7.5,123.8124949,-5.145833333,0.35291284,26.835
14.5,7.5,123.8541616,-5.145833333,0.32179064,26.779999
15.5,7.5,123.8958282,-5.145833333,0.23921444,26.779999
16.5,7.5,123.9374949,-5.145833333,0.31782702,26.81
17.5,7.5,123.9791616,-5.145833333,0.3178276,26.699999
18.5,7.5,124.0208282,-5.145833333,0.32001105,26.609999
19.5,7.5,124.0624949,-5.145833333,0.3403287,26.644999
20.5,7.5,124.1041616,-5.145833333,0.35304672,26.724998
21.5,7.5,124.1458282,-5.145833333,0.349843,26.734999
22.5,7.5,124.1874949,-5.145833333,0.35186353,26.705
23.5,7.5,124.2291616,-5.145833333,0.35784978,26.699999
24.5,7.5,124.2708282,-5.145833333,0.35484916,26.675
25.5,7.5,124.3124949,-5.145833333,0.35299945,26.65
26.5,7.5,124.3541616,-5.145833333,0.35833666,26.644999
27.5,7.5,124.3958282,-5.145833333,0.35635594,26.635
28.5,7.5,124.4374949,-5.145833333,0.36803162,26.654999
29.5,7.5,124.4791616,-5.145833333,0.36807182,26.654999
30.5,7.5,124.5208282,-5.145833333,0.332858,26.71
31.5,7.5,124.5624949,-5.145833333,0.31629384,26.755
32.5,7.5,124.6041616,-5.145833333,0.32842717,26.73
33.5,7.5,124.6458282,-5.145833333,0.3295599,26.724998
34.5,7.5,124.6874949,-5.145833333,0.32437333,26.74
35.5,7.5,124.7291616,-5.145833333,0.32634,26.785
36.5,7.5,124.7708282,-5.145833333,0.33019736,26.724998
37.5,7.5,124.8124949,-5.145833333,0.3535083,26.609999
38.5,7.5,124.8541616,-5.145833333,0.3921932,26.535
39.5,7.5,124.8958282,-5.145833333,0.40602988,26.42
40.5,7.5,124.9374949,-5.145833333,0.40882537,26.314999
41.5,7.5,124.9791616,-5.145833333,0.40922055,26.279999
42.5,7.5,125.0208282,-5.145833333,0.38580802,26.205
43.5,7.5,125.0624949,-5.145833333,0.35444123,26.255
44.5,7.5,125.1041616,-5.145833333,0.34566358,26.285
45.5,7.5,125.1458282,-5.145833333,0.3751642,26.265
46.5,7.5,125.1874949,-5.145833333,0.3868718,26.3
47.5,7.5,125.2291616,-5.145833333,0.3802422,26.23
48.5,7.5,125.2708282,-5.145833333,0.3730131,26.23
49.5,7.5,125.3124949,-5.145833333,0.37100855,26.32
0.5,8.5,123.2708282,-5.1875,0.37653986,27.445
1.5,8.5,123.3124949,-5.1875,0.32028055,27.425
2.5,8.5,123.3541616,-5.1875,0.31869885,27.39
3.5,8.5,123.3958282,-5.1875,0.31579843,27.34
4.5,8.5,123.4374949,-5.1875,0.32708165,27.199999
5.5,8.5,123.4791616,-5.1875,0.33826134,27.14
6.5,8.5,123.5208282,-5.1875,0.33740672,27.135
7.5,8.5,123.5624949,-5.1875,0.33476573,27.109999
8.5,8.5,123.6041616,-5.1875,0.34201193,27.01
9.5,8.5,123.6458282,-5.1875,0.3738565,26.904999
10.5,8.5,123.6874949,-5.1875,0.32494974,26.845
11.5,8.5,123.7291616,-5.1875,0.33808097,26.845
12.5,8.5,123.7708282,-5.1875,0.34880418,26.855
13.5,8.5,123.8124949,-5.1875,0.35840026,26.82
14.5,8.5,123.8541616,-5.1875,0.34055752,26.805
15.5,8.5,123.8958282,-5.1875,0.2767706,26.8
16.5,8.5,123.9374949,-5.1875,0.3290085,26.755
17.5,8.5,123.9791616,-5.1875,0.33947256,26.67
18.5,8.5,124.0208282,-5.1875,0.34147885,26.685
19.5,8.5,124.0624949,-5.1875,0.33307594,26.664999
20.5,8.5,124.1041616,-5.1875,0.3400996,26.675
21.5,8.5,124.1458282,-5.1875,0.3580497,26.675
22.5,8.5,124.1874949,-5.1875,0.3632824,26.675
23.5,8.5,124.2291616,-5.1875,0.37362745,26.705
24.5,8.5,124.2708282,-5.1875,0.38276136,26.685
25.5,8.5,124.3124949,-5.1875,0.3880572,26.68
26.5,8.5,124.3541616,-5.1875,0.39308393,26.675
27.5,8.5,124.3958282,-5.1875,0.40213394,26.685
28.5,8.5,124.4374949,-5.1875,0.40207395,26.705
29.5,8.5,124.4791616,-5.1875,0.38156337,26.695
30.5,8.5,124.5208282,-5.1875,0.36322787,26.654999
31.5,8.5,124.5624949,-5.1875,0.36940414,26.689999
32.5,8.5,124.6041616,-5.1875,0.37629515,26.755
33.5,8.5,124.6458282,-5.1875,0.351605,26.779999
34.5,8.5,124.6874949,-5.1875,0.3376949,26.785
35.5,8.5,124.7291616,-5.1875,0.3323566,26.75
36.5,8.5,124.7708282,-5.1875,0.3375089,26.715
37.5,8.5,124.8124949,-5.1875,0.36026597,26.609999
38.5,8.5,124.8541616,-5.1875,0.3818778,26.51
39.5,8.5,124.8958282,-5.1875,0.36802894,26.484999
40.5,8.5,124.9374949,-5.1875,0.36477888,26.355
41.5,8.5,124.9791616,-5.1875,0.36692622,26.255
42.5,8.5,125.0208282,-5.1875,0.3628276,26.195
43.5,8.5,125.0624949,-5.1875,0.36163893,26.275
44.5,8.5,125.1041616,-5.1875,0.36247757,26.345
45.5,8.5,125.1458282,-5.1875,0.37966514,26.34
46.5,8.5,125.1874949,-5.1875,0.3788296,26.4
